Codigo de estado,Estado,Acronimo,Codigo min de estado,codigo maximo de estado
1,Aguascalientes,AGU,20000,20999
2,Baja California,BCN,21000,22999
3,Baja California Sur,BCS,23000,23999
4,Campeche,CAM,24000,24999
5,Coahuila de Zaragoza,COA,25000,27999
6,Colima,COL,28000,28999
7,Chiapas,CHP,29000,30999
8,Chihuahua,CHH,31000,33999
9,Ciudad de México,DIF,1000,16999
10,Durango,DUR,34000,35999
11,Guanajuato,GUA,36000,38999
12,Guerrero,GRO,39000,41999
13,Hidalgo,HID,42000,43999
14,Jalisco,JAL,44000,49999
15,México,MEX,50000,57999
16,Michoacán de Ocampo,MIC,58000,61999
17,Morelos,MOR,62000,62999
18,Nayarit,NAY,63000,63999
19,Nuevo León,NLE,64000,67999
20,Oaxaca,OAX,68000,71999
21,Puebla,PUE,72000,75999
22,Querétaro,QUE,76000,76999
23,Quintana Roo,ROO,77000,77999
24,San Luis Potosí,SLP,78000,79999
25,Sinaloa,SIN,80000,82999
26,Sonora,SON,83000,85999
27,Tabasco,TAB,86000,86999
28,Tamaulipas,TAM,87000,89999
29,Tlaxcala,TLA,90000,90999
30,Veracruz de Ignacio de la Llave,VER,91000,96999
31,Yucatán,YUC,97000,97999
32,Zacatecas,ZAC,98000,99999
